stream_id;channel_name;tivione_epg_id;epgshare_id;score;method
1170601;┃UK┃ 5 STAR;5star.uk;5STAR.uk;1.000;EXACT_STRICT
1170602;┃UK┃ 5 STAR +1;5starplus1.uk;5STAR+1.uk;1.000;EXACT_STRICT
1170611;┃UK┃ 5 ACTION;5action.uk;5ACTION.uk;1.000;EXACT_STRICT
1170569;┃UK┃ U&DAVE HD;dave.uk;U.and.Dave.HD.uk;1.000;EXACT_STRICT
1170570;┃UK┃ U&DAVE;dave.uk;U.and.Dave.HD.uk;1.000;EXACT_STRICT
1170584;┃UK┃ U&DAVEJAVU;davejavu.uk;U.and.Dave.ja.vu.uk;1.000;EXACT_STRICT
1170567;┃UK┃ U&GOLD HD;gold.uk;U.and.GOLD.HD.uk;1.000;EXACT_STRICT
1170568;┃UK┃ U&GOLD +1;goldplus1.uk;U.and.GOLD+1.uk;1.000;EXACT_STRICT
1170587;┃UK┃ U&DRAMA;drama.uk;U.and.Drama.uk;1.000;EXACT_STRICT
1170588;┃UK┃ U&DRAMA +1;dramaplus1.uk;U.and.Drama+1.uk;1.000;FUZZY_STRICT
1170565;┃UK┃ U&EDEN;eden.uk;U.and.Eden.uk;1.000;EXACT_STRICT
1170566;┃UK┃ U&EDEN +1;edenplus1.uk;U.and.Eden+1.uk;1.000;EXACT_STRICT
1170592;┃UK┃ U&YESTERDAY;yesterday.uk;U.and.YESTERDAY.uk;1.000;EXACT_STRICT
1170593;┃UK┃ U&YESTERDAY +1;yesterdayplus1.uk;U.and.YESTERDAY+1.uk;1.000;EXACT_STRICT
1170591;┃UK┃ U&W;w.uk;U.and.W.HD.uk;1.000;EXACT_STRICT
1170618;┃UK┃ GREAT TV;greattv.uk;GREAT!.tv.uk;1.000;EXACT_STRICT
1170620;┃UK┃ GREAT MOVIES;greatmovies.uk;GREAT!.movies.uk;1.000;EXACT_STRICT
1170619;┃UK┃ GREAT ACTION;greataction.uk;GREAT!.action.uk;1.000;EXACT_STRICT
1170590;┃UK┃ REALLY;really.uk;Really.uk;1.000;EXACT_STRICT
1170608;┃UK┃ TJC;;TJC.uk;1.000;FUZZY_STRICT
1170614;┃UK┃ TOGETHER;together.uk;Together.uk;1.000;EXACT_STRICT
1170609;┃UK┃ TV WAREHOUSE;tvwarehouse.uk;TV.Warehouse.uk;1.000;EXACT_STRICT
1170589;┃UK┃ PBS AMERICA;pbsamerica.uk;PBS.America.uk;1.000;EXACT_STRICT
1170606;┃UK┃ BEST DIRECT;bestdirect.uk;Best.Direct.uk;1.000;EXACT_STRICT
1170582;┃UK┃ BLAZE;blaze.uk;BLAZE.uk;1.000;EXACT_STRICT
1170583;┃UK┃ CHALLENGE;challenge.uk;Challenge.uk;1.000;EXACT_STRICT
1170612;┃UK┃ COURT TV;courttv.uk;Court.TV.uk;1.000;EXACT_STRICT
1170599;┃UK┃ DAYSTAR;daystar.uk;DAYSTAR.HD.uk;1.000;EXACT_STRICT
1170623;┃UK┃ EMAN CHANNEL;emanchannel.uk;Eman.Channel.uk;1.000;EXACT_STRICT
1170624;┃UK┃ FAITH WORLD TV;;Faith.World.TV.uk;1.000;EXACT_STRICT
1170607;┃UK┃ GEMS TV;gemstv.uk;Gems.TV.uk;1.000;EXACT_STRICT
1170622;┃UK┃ GOD CHANNEL;godchannel.uk;GOD.Channel.uk;1.000;EXACT_STRICT
1170615;┃UK┃ HIGH STREET TV 1;highstreettv1.uk;High.Street.TV.1.uk;1.000;EXACT_STRICT
1170616;┃UK┃ HIGH STREET TV 2;highstreettv2.uk;High.Street.TV.2.uk;1.000;EXACT_STRICT
1170617;┃UK┃ HIGH STREET TV 3;highstreettv3.uk;High.Street.TV.3.uk;1.000;EXACT_STRICT
1170621;┃UK┃ HOBBYMAKER;;HobbyMaker.uk;1.000;EXACT_STRICT
1170613;┃UK┃ IDEAL WORLD;;Ideal.World.HD.uk;1.000;EXACT_STRICT
1170571;┃UK┃ QUEST;quest.uk;QUEST.uk;1.000;FUZZY_STRICT
1170573;┃UK┃ QUEST +1;questplus1.uk;QUEST+1.uk;1.000;EXACT_STRICT
1170572;┃UK┃ QUEST HD;quest.uk;QUEST.uk;1.000;FUZZY_STRICT
1170574;┃UK┃ QUEST RED;questred.uk;Quest.Red.uk;1.000;EXACT_STRICT
1170575;┃UK┃ QUEST RED +1;questredplus1.uk;Quest.Red+1.uk;1.000;EXACT_STRICT
1170595;┃UK┃ QVC;qvc.uk;QVC.HD.uk;1.000;EXACT_STRICT
1170596;┃UK┃ QVC BEAUTY;qvcbeauty.uk;QVC.Beauty.uk;1.000;EXACT_STRICT
1170597;┃UK┃ QVC EXTRA;qvcextra.uk;QVC.Extra.uk;1.000;EXACT_STRICT
1170598;┃UK┃ QVC STYLE;qvcstyle.uk;QVC.Style.HD.uk;1.000;EXACT_STRICT
1170643;┃UK┃ SKY ARTS HEVC HD;skyarts.uk;Sky.Arts.HD.uk;1.000;EXACT_STRICT
1170641;┃UK┃ COMEDY CENTRAL HEVC HD;comedycentral.uk;ComedyCentral.uk;1.000;EXACT_STRICT
1170640;┃UK┃ MTV HEVC HD;mtv.uk;MTV.HD.uk;1.000;EXACT_STRICT
1170644;┃UK┃ U&DAVE HEVC HD;dave.uk;U.and.Dave.HD.uk;1.000;EXACT_STRICT
1170645;┃UK┃ U&GOLD HEVC HD;gold.uk;U.and.GOLD.HD.uk;1.000;EXACT_STRICT
1170649;┃UK┃ SKY ARTS HEVC FHD;skyarts.uk;Sky.Arts.HD.uk;1.000;EXACT_STRICT
1170651;┃UK┃ COMEDY CENTRAL HEVC FHD;comedycentral.uk;ComedyCentral.uk;1.000;EXACT_STRICT
1170652;┃UK┃ MTV HEVC FHD;mtv.uk;MTV.HD.uk;1.000;EXACT_STRICT
1170648;┃UK┃ U&DAVE HEVC FHD;dave.uk;U.and.Dave.HD.uk;1.000;EXACT_STRICT
1170647;┃UK┃ U&GOLD HEVC FHD;gold.uk;U.and.GOLD.HD.uk;1.000;EXACT_STRICT
1170665;☰☰☰☰ ┃UK┃ DISCOVERY+ ☰☰☰☰;4seven.uk;Discovery.HD.uk;0.947;FUZZY_STRICT
1170671;┃UK┃ ANIMAL PLANET;animalplanet.uk;Animal.Planet.uk;1.000;EXACT_STRICT
1170672;┃UK┃ DMAX;discoverydmax.uk;DMAX.uk;1.000;EXACT_STRICT
1170673;┃UK┃ FOOD NETWORK;foodnetwork.uk;Food.Network.uk;1.000;EXACT_STRICT
1170674;┃UK┃ HGTV;hgtv.uk;HGTV.uk;1.000;EXACT_STRICT
1170676;┃UK┃ QUEST;quest.uk;QUEST.uk;1.000;FUZZY_STRICT
1170677;┃UK┃ QUEST RED;questred.uk;Quest.Red.uk;1.000;EXACT_STRICT
1170678;┃UK┃ REALLY;really.uk;Really.uk;1.000;EXACT_STRICT
1170675;┃UK┃ TLC;tlc.uk;TLC.HD.uk;1.000;EXACT_STRICT
1172134;┃UK┃ SKY DOCUMENTARIES HD;skydocumentaries.uk;Sky.Documentaries.HD.uk;1.000;EXACT_STRICT
1172137;┃UK┃ SKY NATURE HD;skynature.uk;Sky.Nature.HD.uk;1.000;EXACT_STRICT
1172135;┃UK┃ SKY HISTORY HD;skyhistory.uk;Sky.History2.uk;0.952;FUZZY_STRICT
